"승인번호","승인일자","업종구분명","업체명"
"제720053호","2015-12-23","판매업","인동농협하나로마트"
"제710114호","2015-12-22","음식점","대구축산농협 팔공상강한우프라자 서재점"
"제710123호","2015-12-22","음식점","성심유치원"
"제130014호","2015-06-19","가공업","(주)한성식품"
"옥천-1","2015-04-22","판매업","옥천농협"
"옥천-2","2015-04-22","판매업","청산농협하나로마트"
"옥천-3","2015-04-22","판매업","이원농협하나로마트"
"제130012호","2015-02-24","가공업","도미솔식품"
"제130013호","2015-02-24","가공업","(주)연안식품"
"810116","2014-12-22","음식점","석백산한우전문점"
"810117","2014-12-22","음식점","옥계촌"
"820072","2014-12-22","판매업","용현농업협동조합 하나로마트"
"제810113호","2014-12-22","음식점","가야숯불구이"
"제130011호","2014-12-19","가공업","고삼농협안성마춤푸드센터"
"제710098호","2014-12-18","음식점","곤지봉한우"
"제710099호","2014-12-18","음식점","산중식당"
"제710105호","2014-12-18","음식점","킴스캐빈"
"제710107호","2014-12-18","음식점","공갈못연꽃한우촌"
"제710109호","2014-12-18","음식점","산동관"
"제710097호","2014-09-24","음식점","우각한우촌"
"제720045호","2014-09-24","판매업","농협하나로마트 성서점"
"제720044호","2014-06-30","판매업","고아농협 문성하나로마트"
"제130010호","2014-06-24","가공업","경기농협식품조합공동사업법인(파주지사무소)"
"제710043호","2013-12-30","음식점","묵향"
"제720043호","2013-12-30","판매업","가야산한우촌"
"제330014호","2013-11-26","가공업","수안보농협남한강김치"
"120071","2013-06-14","판매업","농협하나로마트 흑석점"
"제820053호","2013-06-04","판매업","대백마트상림점"
"제820040호","2013-06-03","판매업","케이에스마트"
"제820041호","2013-06-03","판매업","케이에스마트 소답점"
"제720042호","2013-05-29","판매업","홈플러스 대구수성점"
"제110111호","2012-11-30","음식점","산하"
"제120063호","2012-11-30","판매업","홈플러스스토어즈(주) 면목점"
"제120064호","2012-11-30","판매업","홈플러스스토어즈(주) 방학점"
"제120067호","2012-11-30","판매업","롯데쇼핑 (주) 롯데마트 천천점"
"제120069호","2012-11-30","판매업","홈플러스(주) 부천소사점"
"제710094","2012-11-30","음식점","정우숯불가든"
"제720039호","2012-11-30","판매업","홈플러스테스코(주)동촌점"
"제720040호","2012-11-30","판매업","홈플러스(주)상인점"
"제810111호","2012-11-30","음식점","대식한우명가"
"제320016호","2012-11-20","판매업","일동종합식품(주)"
"제330008호","2012-11-20","가공업","(주)김치나라"
"제810040호","2012-06-05","음식점","삼도정"
"제810041호","2012-06-05","음식점","우람한우마을"
"제810042호","2012-06-05","음식점","한우마을"
"제810063호","2012-06-05","음식점","원산면옥"
"제810064호","2012-06-05","음식점","초당돼지국밥"
"제810065호","2012-06-05","음식점","삼대한우마을"
"제810090호","2012-06-05","음식점","국보삼계탕"
"제810092호","2012-06-05","음식점","가야정"
"제810093호","2012-06-05","음식점","본가삼계탕"
"제810106호","2012-06-05","음식점","외양간구시"
"제810107호","2012-06-05","음식점","동막골한우숯불촌"
"제820013호","2012-06-05","판매업","홈플러스마산점"
"제820030호","2012-06-05","판매업","홈플러스㈜삼천포점"
"제830006호","2012-06-05","가공업","덕유농산영농조합법인"
"제110053호","2012-05-31","음식점","연포갈비"
"제110055호","2012-05-31","음식점","신라갈비"
"제110056호","2012-05-31","음식점","본수원갈비"
"제110058호","2012-05-31","음식점","락원"
"제110068호","2012-05-31","음식점","태평관"
"제110069호","2012-05-31","음식점","오리명가"
"제110070호","2012-05-31","음식점","서일농원"
"제110071호","2012-05-31","음식점","양지가든"
"제110072호","2012-05-31","음식점","동성한우촌"
"제110073호","2012-05-31","음식점","모박사"
"제110074호","2012-05-31","음식점","오리사냥"
"제110075호","2012-05-31","음식점","연우정"
"제110095호","2012-05-31","음식점","전망대누릉지삼계탕"
"제110096호","2012-05-31","음식점","옛날시골밥상"
"제110097호","2012-05-31","음식점","벽제갈비"
"제110100호","2012-05-31","음식점","가마봉한우집"
"제110101호","2012-05-31","음식점","개군농협 양평개군한우 전문식당"
"제110102호","2012-05-31","음식점","양평축협한우프라자음식점"
"제110104호","2012-05-31","음식점","솔향기"
"제110105호","2012-05-31","음식점","편가네된장"
"제110106호","2012-05-31","음식점","연미정회전오리"
"제110107호","2012-05-31","음식점","산해연갈비알찜"
"제110108호","2012-05-31","음식점","김포고깃집"
"제120027호","2012-05-31","판매업","㈜농협유통 수서점"
"제120028호","2012-05-31","판매업","㈜농협유통 하나로마트 성산점"
"제120034호","2012-05-31","판매업","홈플러스스토어즈㈜ 신도림점"
"제120040호","2012-05-31","판매업","홈플러스㈜ 잠실점"
"제120046호","2012-05-31","판매업","홈플러스테스코㈜ 원천점"
"제120048호","2012-05-31","판매업","홈플러스㈜ 안산선부점"
"제120049호","2012-05-31","판매업","롯데쇼핑 (주) 롯데마트동두천점"
"제120050호","2012-05-31","판매업","홈플러스(주) 송탄점"
"제120051호","2012-05-31","판매업","안성축산농협하나로마트"
"제120054호","2012-05-31","판매업","광탄농협하나로마트"
"제120055호","2012-05-31","판매업","㈜농협유통하나로마트교하점"
"제120057호","2012-05-31","판매업","OK마트"
"제120058호","2012-05-31","판매업","양평축협한우프라자판매점"
"제120059호","2012-05-31","판매업","㈜농협유통소사점"
"제130004호","2012-05-31","가공업","농업회사법인 유한회사 일품김치"
"제130006호","2012-05-31","가공업","강화섬김치"
"제710037호","2012-05-31","음식점","한우명가"
"제710038호","2012-05-31","음식점","김천한우촌"
"제710040호","2012-05-31","음식점","경복궁"
"제710042호","2012-05-31","음식점","헛제사밥(맛50년)"
"제710046호","2012-05-31","음식점","선주고을"
"제710047호","2012-05-31","음식점","한우명가복주"
"제710049호","2012-05-31","음식점","팔공산이재욱호박오리"
"제710053호","2012-05-31","음식점","주왕산삼계탕"
"제710054호","2012-05-31","음식점","청정한우"
"제710055호","2012-05-31","음식점","명실상감한우홍보테마타운"
"제710063호","2012-05-31","음식점","고령금산한우"
"제710072호","2012-05-31","음식점","갈비세상"
"제710074호","2012-05-31","음식점","삼천포해물탕"
"제710075호","2012-05-31","음식점","일월정한정식"
"제710080호","2012-05-31","음식점","고운가든"
"제710081호","2012-05-31","음식점","곰내미식육식당"
"제710085호","2012-05-31","음식점","풍전한우"
"제710088호","2012-05-31","음식점","제주식당"
"제710091호","2012-05-31","음식점","미성목장"
"제720025호","2012-05-31","판매업","(주) 롯데쇼핑 롯데슈퍼형곡점"
