업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,랑성유황오리,청주시 상당구 낭성면 관정1길 10,청주시 상당구 낭성면 관정리 413-10 ,043-285-6767,기타
일반음식점,비에이치씨(BHC)청주용정점,청주시 상당구 영운천로133번길 33  1층 (금천동),청주시 상당구 금천동 452 1층 ,,호프/통닭
일반음식점,BHC방서동남점,청주시 상당구 월평로238번길 3-5  1층 101호 (용암동),청주시 상당구 용암동 2035 ,043-297-1577,호프/통닭
일반음식점,bhc성안점,청주시 상당구 용담로 7  주5동 1층 129호  130호 (문화동  문화동 센트럴칸타빌),청주시 상당구 문화동 118 문화동 센트럴칸타빌 ,,호프/통닭
일반음식점,투썸플레이스청주동남점,청주시 상당구 중고개로125번길 19  1~4층 (용암동),청주시 상당구 용암동 189-3 1~4층 ,043-298-1200,경양식
일반음식점,굽네치킨동남지구점,청주시 상당구 중고개로 104  상가2동 103호 (용암동  칸타빌 더 테라스 2단지),청주시 상당구 용암동 149-10 칸타빌 더 테라스 2단지 상가2동 103호,,호프/통닭
일반음식점,피자헛금천광장점,청주시 상당구 산성로98번길 8-1  1층 (금천동),청주시 상당구 금천동 271 1층 ,043-285-1598,경양식
일반음식점,BHC금천점,청주시 상당구 수영로259번길 2  1층 (금천동),청주시 상당구 금천동 217-1 1층 ,043-252-3031,일식
일반음식점,용용생고기,청주시 상당구 대성로 88  1층 (문화동),청주시 상당구 문화동 14-9 1층 ,043-223-2400,식육(숯불구이)
일반음식점,79대포동남지구점,청주시 상당구 중고개로141번길 13-16  117 118호 (용암동),청주시 상당구 용암동 3082 117 118호 ,,호프/통닭
일반음식점,비에이치씨(bhc)동남지구점,청주시 상당구 중고개로141번길 11-17  1층 109 110호 (용암동),청주시 상당구 용암동 3078 ,,호프/통닭
일반음식점,푸라닭청주금천점,청주시 상당구 명암로 32  주2동 B1층 103호 (용담동),청주시 상당구 용담동 449 주2동 103호,043-283-9206,호프/통닭
일반음식점,롯데컬처웍스(주)롯데시네마청주용암,청주시 상당구 1순환로 1233  1층 (용암동),청주시 상당구 용암동 1703 1층 ,,기타
일반음식점,60계치킨청주용암금천점,청주시 상당구 낙영로24번길 18  1층 (용암동),청주시 상당구 용암동 2356 1층 ,,한식
일반음식점,BHC(비에이치씨)청주용암점,청주시 상당구 중흥로 137  1층 (용암동),청주시 상당구 용암동 2337 1층 ,043-285-1577,통닭(치킨)
일반음식점,캠프치킨금천광장점,청주시 상당구 중고개로 320 (금천동  1층),청주시 상당구 금천동 286 (1층) ,043-221-1592,호프/통닭
일반음식점,맘스터치용담점,청주시 상당구 수영로 299  2층 (용담동),청주시 상당구 용담동 399 2층 ,043-291-8948,분식
일반음식점,파스쿠찌동남시티점,청주시 상당구 중고개로 129  에스원타워 1층 112 113 114호 (용암동),청주시 상당구 용암동 3077 에스원타워 112 113 114호 ,,경양식
일반음식점,한식코너,청주시 상당구 문의면 당진영덕고속도로 123  문의휴게소,청주시 상당구 문의면 남계리 산 59-6 문의휴게소 ,,한식
일반음식점,푸라닭청주용암점,청주시 상당구 중흥로 119  1층 (용암동),청주시 상당구 용암동 2150 1층 ,,호프/통닭
일반음식점,스텔라떡볶이용암점,청주시 상당구 중흥로 191  1층 (용암동),청주시 상당구 용암동 2594 1층 ,070-7543-9861,분식
일반음식점,바른치킨청주금천점,청주시 상당구 수영로 276  1층 (금천동),청주시 상당구 금천동 227-4 ,043-222-5850,호프/통닭
일반음식점,맘스터치청주동남지구점,청주시 상당구 중고개로 129  1층 101 102호 (용암동),청주시 상당구 용암동 3077 ,,경양식
일반음식점,맘스터치용암점,청주시 상당구 낙영로24번길 24  1층 (용암동),청주시 상당구 용암동 2358 1층 ,043-284-2030,분식
일반음식점,맘스터치방서지구점,청주시 상당구 2순환로2031번길 6-20  1층 105호 (방서동),청주시 상당구 방서동 644-108 ,043-284-3300,분식
일반음식점,우동코너,청주시 상당구 문의면 당진영덕고속도로 123  문의휴게소 1층,청주시 상당구 문의면 남계리 산 59-6 문의휴게소 ,,한식
일반음식점,인생막창,청주시 상당구 월평로154번길 20 (용암동 (1층)),청주시 상당구 용암동 1443 (1층) ,043-297-3392,기타
일반음식점,우만숯불갈비,청주시 상당구 탑동로 79 (탑동),청주시 상당구 탑동 49-9 ,043-257-5877,한식
일반음식점,청주불백,청주시 상당구 용암북로94번길 52  1층 (용암동),청주시 상당구 용암동 2524 1층 ,043-292-5015,한식
일반음식점,위찜동남지구점,청주시 상당구 중고개로141번길 13-12  115 116호 (용암동),청주시 상당구 용암동 186-33 115 116호 ,,한식
일반음식점,공주보신탕,청주시 상당구 미원면 미원시내2길 20  1층,청주시 상당구 미원면 미원리 503-10 1층 ,043-287-8683,한식
일반음식점,겐끼돈,청주시 상당구 남사로 133-13  1층 (남문로2가),청주시 상당구 남문로2가 46-2 1층 ,043-253-5759,일식
일반음식점,간이역,청주시 상당구 쇠내로 137 (금천동),청주시 상당구 금천동 116-7 1층 ,043-221-0456,호프/통닭
일반음식점,맛보아포도나무신식당,청주시 상당구 월평로184번길 102  102호 (용암동),청주시 상당구 용암동 1691 102호,,한식
일반음식점,수암골언니네분식,청주시 상당구 수암로 31  2층 (수동),청주시 상당구 수동 112-118 2층 ,,분식
일반음식점,무한장소청주서문점,청주시 상당구 무심동로372번길 44 (서문동  1층),청주시 상당구 서문동 138 (1층) ,043-223-8806,횟집
일반음식점,동화촌,청주시 상당구 낭성면 산성로 1403  1층,청주시 상당구 낭성면 호정리 272-17 ,043-223-2229,한식
일반음식점,뽕스호프,청주시 상당구 중고개로141번길 11-19  3층 305호 (용암동),청주시 상당구 용암동 3079 3층 305호,,한식
일반음식점,봉싯봉싯(BONGSIT BONGSIT),청주시 상당구 호미로 187  1층 (용정동),청주시 상당구 용정동 919 ,,기타
일반음식점,인생술집,청주시 상당구 용담로82번길 26 (탑동  1층),청주시 상당구 탑동 48 (1층) ,,호프/통닭
일반음식점,짱이네,청주시 상당구 수영로 277  1층 (금천동),청주시 상당구 금천동 227 1층 ,043-223-1212,분식
일반음식점,소풍도시락,청주시 상당구 성안로 112  1층 (석교동),청주시 상당구 석교동 120-1 ,043-256-1852,한식
일반음식점,상당참숯소갈비살,청주시 상당구 당산로 95-1  1층 (용담동),청주시 상당구 용담동 133-4 1층 ,043-252-5454,식육(숯불구이)
일반음식점,양지보리밥,청주시 상당구 무농정로3번길 42 (용암동),청주시 상당구 용암동 1929 ,,한식
일반음식점,우족양곰탕,청주시 상당구 남일면 단재로 507,청주시 상당구 남일면 효촌리 38-2 ,043-288-0145,한식
일반음식점,영운도가니,청주시 상당구 단재로 110-12 (영운동),청주시 상당구 영운동 168-1 ,043-256-5232,한식
일반음식점,숲사랑,청주시 상당구 미원면 수목원길 51,청주시 상당구 미원면 미원리 산 17 ,,한식
일반음식점,본가장수촌,청주시 상당구 월평로 125 (용암동  2층),청주시 상당구 용암동 762-3 (2층) ,043-298-0433,식육(숯불구이)
일반음식점,원조임가네해장국,청주시 상당구 쇠내로73번길 10 (금천동),청주시 상당구 금천동 177-5 ,043-221-5902,한식
일반음식점,청남대화련가든, ,청주시 상당구 가덕면 국전리 233-1 2층 ,043-298-4500,한식
일반음식점,대청마루,청주시 상당구 문의면 대청호반로 839,청주시 상당구 문의면 미천리 114-63 ,043-298-2507,한식
일반음식점,할매올갱이,청주시 상당구 미원면 단재로 2411 ( 22),청주시 상당구 미원면 미원리 438-20  22 ,043-297-7118,한식
일반음식점,맛있는스시,청주시 상당구 중고개로141번길 14-1  1층 101호 (용암동),청주시 상당구 용암동 3047 ,,일식
일반음식점,페리카나치킨,청주시 상당구 영운로 34-1 (영운동),청주시 상당구 영운동 169-3 ,043-259-4080,통닭(치킨)
일반음식점,곱분이곱창동남지구점,청주시 상당구 중고개로141번길 11-19  108호 (용암동),청주시 상당구 용암동 3079 ,043-296-7900,한식
일반음식점,호이차,청주시 상당구 상당로81번길 63 (서문동 (1층)),청주시 상당구 서문동 29-2 (1층) ,,경양식
일반음식점,머무는곳에서,청주시 상당구 청남로 2197 (석교동  지하1층),청주시 상당구 석교동 45-1 지하1층 ,043-253-0021,정종/대포집/소주방
일반음식점,동래집동남지구점,청주시 상당구 중고개로141번길 11-6  1층 115  116호 (용암동),청주시 상당구 용암동 3085 ,,한식
일반음식점,종가먹거리,청주시 상당구 상당로5번길 2 (남문로1가),청주시 상당구 남문로1가 147 (1층) ,043-259-9928,한식
일반음식점,대운정,청주시 상당구 용암북로138번길 30-10 (용암동 (1층)),청주시 상당구 용암동 2570 (1층) ,043-287-5670,한식
